"Identificador","Senioridade","Frequencia de uso","Q15.1","Q15.2","Q15.3","Q15.4","Q15.5","Q15.6","Q15.7","Q15.8","Q15.9","Q19.1","Q19.2","Q19.3","Q19.4","Q19.5","Q19.6","Q19.7","Q19.8","Q23.1","Q23.2","Q23.3","Q23.4","Q23.5","Q23.6","Q23.7","Q23.8","Q23.9","Q27.1","Q27.2","Q27.3","Q27.4","Q27.5","Q27.6","Q27.7","Q27.8","Q31.1","Q31.2","Q31.3","Q31.4","Q31.5","Q31.6","Q31.7","Q31.8","Q31.9","seniority_group","usage_group","satisfaction_benefits","satisfaction_tensions","performance_benefits","performance_tensions","activity_frequency","communication_benefits","communication_tensions","efficiency_benefits","efficiency_prompt","efficiency_validation"
"Dev_18","Senior","Utilizo Frequentemente",5,2,2,2,2,1,2,1,1,4,2,4,3,2,1,2,4,4,4,3,4,2,3,4,2,2,1,2,3,4,3,2,3,3,3,1,4,4,4,3,4,4,1,"S","O",2.25,1.8,3,2.6,3.11111111111111,2.71428571428571,2,3.71428571428571,1,1
"Dev_19","Senior","Utilizo Muito Frequentemente",3,4,4,3,3,3,3,1,2,4,4,5,3,5,3,2,4,3,4,2,5,4,4,5,4,3,4,4,2,4,4,4,4,4,3,3,4,4,3,4,4,3,1,"S","I",2.25,3.4,3,4.2,3.77777777777778,3.71428571428571,4,3.57142857142857,3,1
"Dev_20","Pleno","Utilizo Muito Frequentemente",5,1,2,1,2,3,4,5,3,1,1,5,5,2,1,5,5,3,5,5,3,5,4,2,5,2,3,1,1,5,5,4,5,5,5,1,5,3,4,2,1,1,1,"M","I",4.25,1.8,5,2,3.77777777777778,4,1,3,1,1
"Dev_21","Senior","Utilizo Frequentemente",4,3,2,2,2,1,3,4,4,4,4,5,3,4,2,3,4,4,3,4,3,4,3,4,2,2,4,3,4,4,4,4,2,4,3,4,4,2,3,3,3,4,2,"S","O",3.75,2,3.33333333333333,3.8,3.22222222222222,3.71428571428571,3,3.14285714285714,4,2
"Dev_22","Senior","Utilizo Muito Frequentemente",5,3,4,4,4,4,5,3,3,4,4,5,4,4,3,3,5,5,5,5,5,5,5,5,4,4,4,4,2,5,4,5,4,5,5,3,5,5,4,4,4,5,3,"S","I",4,3.8,4,4,4.77777777777778,4.14285714285714,4,4.57142857142857,3,3
"Dev_23","Pleno","Utilizo Muito Frequentemente",5,1,4,3,3,3,5,4,5,4,3,5,5,4,1,4,5,3,5,5,5,5,3,5,5,1,4,1,5,5,5,5,5,5,5,2,5,5,3,5,5,3,5,"M","I",4.75,2.8,4.66666666666667,3.4,4.11111111111111,4.85714285714286,1,4.42857142857143,2,5
"Dev_24","Pleno","Utilizo Frequentemente",4,3,4,3,3,2,5,5,5,4,5,5,3,4,3,4,5,4,5,5,5,2,3,4,2,3,5,3,3,5,4,2,3,3,3,4,5,5,4,4,4,4,3,"M","O",4.75,3,4,4.2,3.66666666666667,3.57142857142857,3,4.14285714285714,4,3
"Dev_25","Senior","Utilizo Muito Frequentemente",5,1,1,1,1,1,5,1,1,3,1,5,5,1,1,4,4,3,4,4,4,4,4,4,4,2,2,2,1,5,5,3,4,5,3,2,4,4,4,3,4,3,3,"S","I",3,1,4.33333333333333,2.2,3.66666666666667,3.57142857142857,2,3.57142857142857,2,3
"Dev_26","Júnior","Utilizo Muito Frequentemente",5,1,5,1,1,1,4,2,2,4,3,5,2,2,2,4,5,5,3,5,5,5,2,5,5,1,3,1,1,2,5,3,4,5,4,3,5,3,1,4,4,4,2,"E","I",3.25,1.8,3.66666666666667,3.2,4,3.28571428571429,1,3.57142857142857,3,2
"Dev_27","Júnior","Utilizo Eventualmente",2,2,4,4,3,1,2,1,1,3,3,4,3,2,4,4,4,1,4,4,4,2,3,3,4,1,4,3,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,"E","O",1.5,2.8,3.66666666666667,3.2,2.88888888888889,3.71428571428571,3,4,3,4
"Dev_28","Senior","Utilizo Frequentemente",2,4,5,4,4,5,1,1,1,3,4,5,1,2,3,1,3,3,3,5,3,5,2,5,4,1,1,4,1,4,1,5,4,1,1,3,4,1,1,1,1,4,4,"S","O",1.25,4.4,1.66666666666667,3.4,3.44444444444444,2.42857142857143,4,1.85714285714286,3,4
"Dev_29","Pleno","Utilizo Eventualmente",5,4,5,1,1,1,4,3,4,2,2,2,5,2,3,5,5,2,3,3,4,3,3,2,2,2,4,3,3,4,4,4,2,4,4,2,4,3,4,4,4,4,4,"M","O",4,2.4,5,2.2,2.66666666666667,3.57142857142857,3,3.85714285714286,2,4
"Dev_30","Pleno","Utilizo Eventualmente",2,4,4,3,3,5,5,5,5,3,3,5,3,3,3,3,3,3,4,4,5,4,5,5,5,5,1,2,3,2,3,2,2,2,4,3,4,3,4,3,4,3,4,"M","O",4.25,3.8,3,3.4,4.44444444444444,2.14285714285714,2,3.57142857142857,3,4
"Dev_31","Júnior","Utilizo Muito Frequentemente",5,1,3,3,3,4,4,4,4,2,2,5,3,2,1,4,4,4,3,3,4,5,3,4,4,3,5,2,2,4,4,4,4,4,5,1,5,3,3,3,4,4,3,"E","I",4.25,2.8,3.66666666666667,2.4,3.66666666666667,3.85714285714286,2,3.85714285714286,1,3
"Dev_32","Pleno","Utilizo Muito Frequentemente",2,4,3,2,5,2,5,3,3,3,4,4,4,2,2,1,3,4,4,2,4,5,4,5,4,3,5,4,2,4,4,4,4,5,5,4,5,5,5,2,4,4,2,"M","I",3.25,3.2,2.66666666666667,3,3.88888888888889,4,4,4.28571428571429,4,2
"Dev_33","Pleno","Utilizo Frequentemente",5,1,2,1,3,3,4,5,3,2,2,5,4,3,3,4,5,2,3,5,5,5,1,3,4,4,2,3,5,5,5,5,4,5,3,3,5,5,3,4,4,5,2,"M","O",4.25,2,4.33333333333333,3,3.55555555555556,4.42857142857143,3,4.14285714285714,3,2
"Dev_34","Estagiário/Trainee","Utilizo Muito Frequentemente",4,2,5,4,2,3,5,5,5,2,2,5,4,3,4,5,5,3,5,3,4,1,2,4,4,3,5,1,1,3,4,4,4,5,2,1,5,4,2,4,5,5,4,"E","I",4.75,3.2,4.66666666666667,3.2,3.22222222222222,3.71428571428571,1,3.85714285714286,1,4
"Dev_35","Pleno","Utilizo Muito Frequentemente",5,1,4,2,5,1,5,3,3,3,2,5,4,4,1,3,5,3,4,5,5,5,4,3,5,3,4,2,4,5,5,2,5,5,4,5,5,5,2,5,5,5,3,"M","I",4,2.6,4,3,4.11111111111111,4.28571428571429,2,4.42857142857143,5,3
"Dev_36","Pleno","Utilizo Muito Frequentemente",5,1,2,3,2,5,5,5,3,2,3,5,3,3,2,3,5,5,5,5,5,5,5,5,5,5,3,2,4,5,5,5,5,5,5,3,5,5,5,3,2,4,1,"M","I",4.5,2.6,3.66666666666667,3,5,4.57142857142857,2,4.14285714285714,3,1
"Dev_37","Senior","Utilizo Muito Frequentemente",5,1,1,1,3,5,4,1,1,5,1,5,1,5,1,1,4,1,3,2,1,2,4,1,1,1,1,1,1,1,1,1,1,4,5,5,1,3,1,4,5,5,1,"S","I",2.75,2.2,2,3.4,1.77777777777778,1.42857142857143,1,3.42857142857143,5,1
"Dev_38","Senior","Utilizo Muito Frequentemente",5,1,4,2,2,4,5,5,5,2,2,5,5,4,3,4,5,5,5,5,5,5,5,5,5,4,4,3,3,4,5,5,5,5,3,3,5,5,3,4,4,5,2,"S","I",5,2.6,4.66666666666667,3.2,4.88888888888889,4.42857142857143,3,4.14285714285714,3,2
"Dev_39","Senior","Utilizo Eventualmente",3,3,3,1,1,2,1,1,1,3,3,5,2,3,3,1,4,2,2,4,4,1,2,4,4,1,2,3,1,2,2,1,4,3,1,1,5,1,1,2,3,4,1,"S","O",1.5,2,2.33333333333333,3.4,2.66666666666667,2.14285714285714,3,2.42857142857143,1,1
"Dev_40","Senior","Utilizo Raramente",5,4,1,5,5,5,1,1,1,5,5,5,1,4,1,1,5,1,4,1,1,2,2,1,4,1,1,4,1,1,1,1,1,1,1,1,4,4,1,2,1,1,3,"S","O",2,4,2.33333333333333,4,1.88888888888889,1,4,2,1,3
"Dev_41","Senior","Utilizo Muito Frequentemente",4,1,2,1,1,1,3,3,3,3,3,5,4,2,3,3,5,1,2,1,2,5,3,2,1,1,3,3,1,5,1,1,1,1,1,1,4,1,1,1,1,3,1,"S","I",3.25,1.2,4,3.2,2,1.85714285714286,3,1.71428571428571,1,1
"Dev_42","Senior","Utilizo Muito Frequentemente",5,2,4,5,5,5,5,2,2,5,3,5,3,4,3,3,5,2,5,4,5,4,2,5,3,1,1,4,5,5,2,5,3,5,2,2,5,5,5,3,5,5,3,"S","I",3.5,4.2,3.66666666666667,4,3.44444444444444,3.71428571428571,4,4.28571428571429,2,3
"Dev_43","Pleno","Utilizo Frequentemente",5,1,5,1,1,1,4,3,3,5,4,5,4,4,2,4,5,4,4,3,3,4,1,2,4,2,5,3,3,3,5,3,2,4,4,2,5,5,3,4,5,5,4,"M","O",3.75,1.8,4.33333333333333,4,3,3.57142857142857,3,4.42857142857143,2,4
"Dev_44","Júnior","Utilizo Frequentemente",5,4,5,3,1,1,4,3,4,5,5,5,4,5,4,2,5,1,4,5,4,1,3,1,3,1,5,4,1,3,4,1,3,5,4,3,5,5,3,2,5,1,2,"E","O",4,2.8,3.66666666666667,4.8,2.55555555555556,3.14285714285714,4,3.57142857142857,3,2
"Dev_45","Júnior","Utilizo Frequentemente",4,2,5,4,4,2,4,3,3,4,4,5,4,5,3,4,5,4,4,2,5,4,3,4,4,3,4,3,4,5,4,5,4,5,3,3,4,5,4,4,5,5,4,"E","O",3.5,3.4,4.33333333333333,4.2,3.66666666666667,4.42857142857143,3,4.28571428571429,3,4
"Dev_46","Júnior","Utilizo Frequentemente",5,2,4,2,2,2,5,2,3,5,5,4,1,5,3,2,5,3,4,5,5,2,1,5,5,2,5,4,5,4,5,5,2,3,4,2,5,3,1,4,2,5,1,"E","O",3.75,2.4,2.66666666666667,4.4,3.55555555555556,4.14285714285714,4,3.42857142857143,2,1
"Dev_47","Estagiário/Trainee","Utilizo Muito Frequentemente",5,5,5,3,3,1,5,4,5,5,3,3,2,5,4,3,5,4,5,5,5,3,4,5,5,4,3,3,2,4,3,3,4,3,2,3,3,5,5,3,5,5,4,"E","I",4.75,3.4,3.33333333333333,4,4.44444444444444,3.14285714285714,3,4,3,4
"Dev_48","Pleno","Utilizo Muito Frequentemente",4,4,4,2,3,3,4,2,3,3,2,5,4,4,3,2,2,1,4,4,5,2,4,4,5,3,4,3,2,5,5,3,3,5,5,4,5,5,5,5,5,5,3,"M","I",3.25,3.2,2.66666666666667,3.4,3.55555555555556,3.85714285714286,3,5,4,3
"Dev_49","Pleno","Utilizo Frequentemente",4,5,5,1,1,1,4,3,2,4,4,4,2,4,4,4,4,2,5,2,4,4,2,4,3,1,5,4,1,1,4,5,1,4,3,4,4,4,4,4,4,4,4,"M","O",3.25,2.6,3.33333333333333,4,3,3,4,3.85714285714286,4,4
"Dev_51","Senior","Utilizo Muito Frequentemente",5,1,4,3,3,1,1,1,1,5,5,5,3,5,2,1,5,5,3,4,5,1,1,5,5,2,1,4,1,5,5,5,5,5,1,5,2,1,1,3,1,4,1,"S","I",2,2.4,3,4.4,3.44444444444444,3.85714285714286,4,1.85714285714286,5,1
"Dev_52","Estagiário/Trainee","Utilizo Muito Frequentemente",3,2,4,2,2,2,4,4,4,3,4,4,3,2,2,4,4,5,3,4,5,3,3,5,5,3,4,3,4,4,5,5,5,5,5,3,5,5,5,5,5,5,5,"E","I",3.75,2.4,3.66666666666667,3,4,4.57142857142857,3,5,3,5
"Dev_53","Júnior","Utilizo Frequentemente",5,3,5,2,2,4,4,3,4,4,4,5,4,5,4,4,4,4,3,5,5,4,4,5,5,5,2,5,3,4,5,4,4,3,4,3,5,5,5,2,4,5,4,"E","O",4,3.2,4,4.4,4.44444444444444,3.57142857142857,5,4.28571428571429,3,4
"Dev_54","Júnior","Utilizo Frequentemente",4,1,2,1,1,1,4,1,4,4,3,5,3,4,2,3,4,2,4,2,3,1,4,4,3,4,4,1,1,4,5,5,5,5,3,1,5,5,3,3,5,5,1,"E","O",3.25,1.2,3.33333333333333,3.6,3,4.14285714285714,1,4.14285714285714,1,1
"Dev_55","Pleno","Utilizo Frequentemente",4,4,5,1,1,3,2,2,1,5,5,3,3,5,2,3,4,5,3,2,4,5,5,5,1,1,1,3,1,2,4,5,1,3,3,3,4,2,2,1,1,1,3,"M","O",2.25,2.8,3.33333333333333,4,3.44444444444444,2.42857142857143,3,2,3,3
"Dev_56","Júnior","Utilizo Muito Frequentemente",5,2,5,1,1,1,5,5,5,2,2,4,5,3,2,5,5,3,5,5,5,5,5,4,4,4,2,2,2,5,4,5,5,5,5,1,5,5,5,5,5,4,1,"E","I",5,2,5,2.6,4.44444444444444,4,2,4.85714285714286,1,1
"Dev_57","Pleno","Utilizo Muito Frequentemente",5,2,3,1,1,1,4,3,4,4,5,5,4,5,4,4,5,1,5,4,5,4,4,5,4,5,5,5,5,5,5,5,5,5,4,3,5,5,4,4,4,4,3,"M","I",4,1.6,4.33333333333333,4.6,4.11111111111111,5,5,4.28571428571429,3,3
"Dev_59","Senior","Utilizo Muito Frequentemente",5,2,3,3,3,1,4,1,1,4,3,4,5,3,2,3,5,4,4,3,5,4,3,5,3,2,3,4,5,5,5,5,2,4,4,2,3,4,5,4,3,3,2,"S","I",2.75,2.4,4.33333333333333,3.2,3.66666666666667,4.14285714285714,4,3.71428571428571,2,2
"Dev_60","Pleno","Utilizo Muito Frequentemente",3,3,1,3,3,1,3,3,3,1,1,3,3,1,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,4,"M","I",3,2.2,3,1.6,5,5,5,4.14285714285714,5,4
"Dev_61","Pleno","Utilizo Muito Frequentemente",5,1,1,3,3,3,5,1,1,5,3,5,5,3,1,5,5,5,5,5,5,5,5,5,2,4,5,2,3,5,5,5,1,5,5,4,5,5,5,1,5,5,5,"M","I",3,2.2,5,3.4,4.55555555555556,4.14285714285714,2,4.42857142857143,4,5
"Dev_63","Pleno","Utilizo Muito Frequentemente",5,1,5,5,5,4,5,3,4,5,4,5,5,4,3,3,3,3,5,5,5,4,5,5,5,4,3,3,4,5,5,5,5,5,5,1,5,5,5,5,5,5,5,"M","I",4.25,4,3.66666666666667,4.2,4.55555555555556,4.57142857142857,3,5,1,5
"Dev_64","Júnior","Utilizo Eventualmente",5,2,3,2,2,2,4,2,2,4,4,5,5,3,3,5,3,4,3,4,4,3,4,4,2,3,2,3,1,1,4,4,1,5,4,2,4,4,4,4,3,4,1,"E","O",3.25,2.2,4.33333333333333,3.8,3.44444444444444,2.57142857142857,3,3.85714285714286,2,1
"Dev_65","Pleno","Utilizo Muito Frequentemente",5,5,4,5,4,3,5,3,4,3,3,5,3,3,2,4,5,2,5,5,4,5,4,4,3,2,5,3,4,4,4,4,4,5,5,2,3,4,4,2,5,4,2,"M","I",4.25,4.2,4,3.2,3.77777777777778,4.28571428571429,3,3.85714285714286,2,2
"Dev_66","Senior","Utilizo Muito Frequentemente",4,3,2,4,4,4,3,2,2,4,4,3,3,3,3,3,3,4,3,1,3,3,2,5,3,4,2,3,1,3,3,3,3,3,4,3,4,5,3,3,3,3,3,"S","I",2.75,3.4,3,3.4,3.11111111111111,2.57142857142857,3,3.57142857142857,3,3
"Dev_67","Júnior","Utilizo Frequentemente",4,3,4,3,3,4,4,2,3,5,4,3,4,2,4,3,3,3,4,3,4,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,3,"E","O",3.25,3.4,3.33333333333333,3.6,3.55555555555556,3.71428571428571,4,3.85714285714286,4,3
"Dev_68","Pleno","Utilizo Frequentemente",5,2,2,1,1,1,4,2,2,4,2,5,2,4,2,3,4,4,3,3,4,2,4,1,2,2,1,2,3,3,4,1,1,3,3,2,4,3,1,2,2,3,1,"M","O",3.25,1.4,3,3.4,2.77777777777778,2.28571428571429,2,2.57142857142857,2,1
"Dev_69","Senior","Utilizo Eventualmente",4,1,3,1,5,2,2,2,2,4,3,5,3,3,4,2,3,4,1,1,2,2,1,3,1,2,2,4,1,2,2,3,1,3,2,1,4,3,2,2,3,3,3,"S","O",2.5,2.4,2.66666666666667,3.8,1.88888888888889,2,4,2.71428571428571,1,3
"Dev_70","Senior","Utilizo Muito Frequentemente",4,2,5,2,2,2,5,4,4,4,3,5,4,4,3,5,5,5,4,4,3,2,4,4,4,3,2,3,2,3,3,3,2,5,5,1,5,5,3,2,4,5,1,"S","I",4.25,2.6,4.66666666666667,3.8,3.66666666666667,2.85714285714286,3,4.14285714285714,1,1
"Dev_71","Pleno","Utilizo Raramente",1,3,4,4,5,1,1,1,1,5,5,5,1,5,3,2,1,1,2,1,3,4,2,1,2,1,1,5,1,1,1,2,1,2,1,5,1,4,1,2,3,4,5,"M","O",1,3.4,1.33333333333333,4.6,1.88888888888889,1.28571428571429,5,2.28571428571429,5,5
"Dev_72","Júnior","Utilizo Muito Frequentemente",4,5,5,5,5,5,2,5,2,5,4,4,5,4,5,4,5,5,5,2,2,5,5,2,5,1,5,5,1,1,4,3,5,5,1,4,5,5,1,2,5,3,1,"E","I",3.25,5,4.66666666666667,4.4,3.55555555555556,3.42857142857143,5,3.14285714285714,4,1
"Dev_73","Estagiário/Trainee","Utilizo Frequentemente",5,4,4,4,4,3,3,3,4,3,3,3,2,4,4,3,3,4,3,3,5,4,4,4,3,4,1,1,4,4,4,3,3,4,3,4,5,5,5,5,5,4,4,"E","O",3.75,3.8,2.66666666666667,3.4,3.77777777777778,3.28571428571429,1,4.57142857142857,4,4
"Dev_74","Pleno","Utilizo Muito Frequentemente",5,1,1,1,1,1,5,1,1,3,3,5,5,3,2,3,5,3,5,5,5,5,5,5,5,5,5,4,5,5,3,5,2,5,3,3,5,5,5,4,5,3,3,"M","I",3,1,4.33333333333333,3.2,4.77777777777778,4.28571428571429,4,4.28571428571429,3,3
"Dev_75","Júnior","Utilizo Muito Frequentemente",5,1,4,2,2,4,5,4,4,5,2,1,5,3,4,4,5,2,4,5,3,3,4,2,4,2,5,4,2,5,5,4,4,4,4,5,5,5,5,5,5,4,3,"E","I",4.5,2.6,4.66666666666667,3,3.22222222222222,4.14285714285714,4,4.71428571428571,5,3
"Dev_76","Senior","Utilizo Muito Frequentemente",5,1,1,1,1,1,5,3,1,3,3,5,1,1,1,1,5,5,5,5,5,5,5,1,5,1,1,1,1,5,1,3,1,5,1,1,5,5,1,1,3,5,1,"S","I",3.5,1,2.33333333333333,2.6,4.11111111111111,2.42857142857143,1,3,1,1
"Dev_77","Pleno","Utilizo Muito Frequentemente",5,3,4,5,5,3,4,3,4,4,4,4,3,5,5,4,5,5,4,5,5,3,4,4,4,3,5,4,2,5,5,2,4,5,1,5,5,5,5,4,4,4,1,"M","I",4,4,4,4.4,4.11111111111111,4,4,4,5,1
"Dev_78","Senior","Utilizo Muito Frequentemente",3,2,4,1,2,2,3,1,1,2,2,4,1,3,1,1,3,5,4,3,5,3,3,3,4,2,4,3,1,3,5,3,3,5,1,2,4,5,2,2,4,5,3,"S","I",2,2.2,1.66666666666667,2.4,3.55555555555556,3.42857142857143,3,3.28571428571429,2,3
"Dev_80","Júnior","Utilizo Muito Frequentemente",5,3,4,1,1,1,3,4,4,3,3,4,2,3,2,3,3,5,4,5,5,5,5,5,5,5,2,3,4,5,5,5,5,5,5,2,5,5,5,5,5,5,5,"E","I",4,2,2.66666666666667,3,4.88888888888889,4.42857142857143,3,5,2,5
"Dev_81","Estagiário/Trainee","Utilizo Muito Frequentemente",5,3,5,1,1,3,5,1,3,4,3,5,2,5,3,3,4,1,5,5,3,3,1,4,5,3,3,1,3,5,5,5,5,5,5,3,5,5,5,5,5,5,3,"E","I",3.5,2.6,3,4,3.33333333333333,4.42857142857143,1,5,3,3
"Dev_82","Senior","Utilizo Muito Frequentemente",5,1,4,2,2,1,5,2,4,2,2,5,5,2,4,4,4,5,4,3,5,5,4,5,5,4,3,2,1,4,5,1,5,4,4,1,4,4,3,4,4,4,1,"S","I",4,2,4.33333333333333,3,4.44444444444444,3.28571428571429,2,3.85714285714286,1,1
"Dev_83","Pleno","Utilizo Eventualmente",4,1,5,1,1,1,5,4,4,4,4,5,3,4,4,2,3,3,3,2,5,2,2,2,2,2,4,3,1,2,5,3,3,4,4,4,5,5,5,2,4,5,3,"M","O",4.25,1.8,2.66666666666667,4.2,2.55555555555556,3.14285714285714,3,4.28571428571429,4,3
"Dev_84","Pleno","Utilizo Muito Frequentemente",5,4,5,1,1,5,3,2,3,3,3,5,4,4,4,4,4,2,4,4,4,4,4,4,4,4,5,4,1,1,5,3,3,4,4,2,5,4,4,4,5,5,1,"M","I",3.25,3.2,4,3.8,3.77777777777778,3.14285714285714,4,4.42857142857143,2,1
"Dev_85","Senior","Utilizo Muito Frequentemente",5,1,1,2,2,2,5,1,1,3,4,5,4,3,1,3,4,5,5,5,4,5,5,5,5,5,2,3,5,5,4,5,5,5,3,1,4,4,3,4,5,5,1,"S","I",3,1.6,3.66666666666667,3.2,4.88888888888889,4.42857142857143,3,4,1,1
"Dev_86","Pleno","Utilizo Muito Frequentemente",5,3,3,5,5,5,5,3,4,4,4,5,2,4,3,2,4,5,4,5,5,5,5,5,3,3,5,5,5,5,5,5,4,5,4,3,5,5,5,5,5,5,5,"M","I",4.25,4.2,2.66666666666667,4,4.44444444444444,4.85714285714286,5,4.85714285714286,3,5
